month,Mmm,quarter,fiscal_year
2019-04-01,Apr,Q1,2019
2019-05-01,May,Q1,2019
2019-06-01,Jun,Q1,2019
2019-07-01,Jul,Q2,2019
2019-08-01,Aug,Q2,2019
2019-09-01,Sep,Q2,2019
2019-10-01,Oct,Q3,2019
2019-11-01,Nov,Q3,2019
2019-12-01,Dec,Q3,2019
2020-01-01,Jan,Q4,2019
2020-02-01,Feb,Q4,2019
2020-03-01,Mar,Q4,2019
2020-04-01,Apr,Q1,2020
2020-05-01,May,Q1,2020
2020-06-01,Jun,Q1,2020
2020-07-01,Jul,Q2,2020
2020-08-01,Aug,Q2,2020
2020-09-01,Sep,Q2,2020
2020-10-01,Oct,Q3,2020
2020-11-01,Nov,Q3,2020
2020-12-01,Dec,Q3,2020
2021-01-01,Jan,Q4,2020
2021-02-01,Feb,Q4,2020
2021-03-01,Mar,Q4,2020
2021-04-01,Apr,Q1,2021
2021-05-01,May,Q1,2021
2021-06-01,Jun,Q1,2021
2021-07-01,Jul,Q2,2021
2021-08-01,Aug,Q2,2021
2021-09-01,Sep,Q2,2021
2021-10-01,Oct,Q3,2021
2021-11-01,Nov,Q3,2021
2021-12-01,Dec,Q3,2021
2022-01-01,Jan,Q4,2021
2022-02-01,Feb,Q4,2021
2022-03-01,Mar,Q4,2021
2022-04-01,Apr,Q1,2022
2022-05-01,May,Q1,2022
2022-06-01,Jun,Q1,2022
2022-07-01,Jul,Q2,2022
2022-08-01,Aug,Q2,2022
2022-09-01,Sep,Q2,2022
2022-10-01,Oct,Q3,2022
2022-11-01,Nov,Q3,2022
2022-12-01,Dec,Q3,2022
2023-01-01,Jan,Q4,2022
2023-02-01,Feb,Q4,2022
2023-03-01,Mar,Q4,2022
